category,invocations,model,node_name,op_type,provider,total_duration_us
SHAPE_METADATA,3,ConvNeXt-Tiny,node_Concat_319,Concat,CPUExecutionProvider,86
SHAPE_METADATA,3,ConvNeXt-Tiny,node_Concat_315,Concat,CPUExecutionProvider,56
SHAPE_METADATA,3,ConvNeXt-V2-Tiny,node_Concat_502,Concat,CPUExecutionProvider,70
SHAPE_METADATA,3,ConvNeXt-V2-Tiny,node_Concat_498,Concat,CPUExecutionProvider,53
SHAPE_METADATA,3,FastViT-SA36,node_Concat_2366,Concat,CPUExecutionProvider,68
SHAPE_METADATA,3,FastViT-SA36,node_Concat_1859,Concat,CPUExecutionProvider,56
SHAPE_METADATA,3,FastViT-SA36,node_Concat_1851,Concat,CPUExecutionProvider,48
SHAPE_METADATA,3,FastViT-SA36,node_Concat_1795,Concat,CPUExecutionProvider,45
SHAPE_METADATA,3,FastViT-SA36,node_Concat_1803,Concat,CPUExecutionProvider,83
SHAPE_METADATA,3,FastViT-SA36,node_Slice_1833,Slice,CPUExecutionProvider,74
SHAPE_METADATA,3,FastViT-SA36,node_Slice_1831,Slice,CPUExecutionProvider,45
SHAPE_METADATA,3,FastViT-SA36,node_Slice_1829,Slice,CPUExecutionProvider,46
SHAPE_METADATA,3,FastViT-SA36,node_Concat_1838,Concat,CPUExecutionProvider,56
SHAPE_METADATA,3,FastViT-SA36,node_Concat_1835,Concat,CPUExecutionProvider,45
SHAPE_METADATA,3,FastViT-SA36,node_Slice_1923,Slice,CPUExecutionProvider,69
SHAPE_METADATA,3,FastViT-SA36,node_Slice_1921,Slice,CPUExecutionProvider,58
SHAPE_METADATA,3,FastViT-SA36,node_Slice_1920,Slice,CPUExecutionProvider,56
SHAPE_METADATA,3,FastViT-SA36,node_Concat_1928,Concat,CPUExecutionProvider,71
SHAPE_METADATA,3,FastViT-SA36,node_Concat_1925,Concat,CPUExecutionProvider,64
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2013,Slice,CPUExecutionProvider,64
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2011,Slice,CPUExecutionProvider,59
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2010,Slice,CPUExecutionProvider,54
SHAPE_METADATA,3,FastViT-SA36,node_Concat_2018,Concat,CPUExecutionProvider,64
SHAPE_METADATA,3,FastViT-SA36,node_Concat_2015,Concat,CPUExecutionProvider,62
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2103,Slice,CPUExecutionProvider,53
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2101,Slice,CPUExecutionProvider,44
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2100,Slice,CPUExecutionProvider,43
SHAPE_METADATA,3,FastViT-SA36,node_Concat_2108,Concat,CPUExecutionProvider,53
SHAPE_METADATA,3,FastViT-SA36,node_Concat_2105,Concat,CPUExecutionProvider,48
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2193,Slice,CPUExecutionProvider,51
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2191,Slice,CPUExecutionProvider,44
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2190,Slice,CPUExecutionProvider,43
SHAPE_METADATA,3,FastViT-SA36,node_Concat_2198,Concat,CPUExecutionProvider,53
SHAPE_METADATA,3,FastViT-SA36,node_Concat_2195,Concat,CPUExecutionProvider,49
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2283,Slice,CPUExecutionProvider,50
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2281,Slice,CPUExecutionProvider,49
SHAPE_METADATA,3,FastViT-SA36,node_Slice_2280,Slice,CPUExecutionProvider,43
SHAPE_METADATA,3,FastViT-SA36,node_Concat_2288,Concat,CPUExecutionProvider,52
SHAPE_METADATA,3,FastViT-SA36,node_Concat_2285,Concat,CPUExecutionProvider,50
SHAPE_METADATA,3,EfficientViT-L2,node_Concat_1412,Concat,CPUExecutionProvider,71
SHAPE_METADATA,3,EfficientViT-L2,node_Concat_671,Concat,CPUExecutionProvider,55
SHAPE_METADATA,3,EfficientViT-L2,node_Concat_635,Concat,CPUExecutionProvider,50
SHAPE_METADATA,3,MobileNetV4-Conv-Large,node_Concat_1132,Concat,CPUExecutionProvider,66
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_505,Concat,CPUExecutionProvider,61
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_501,Concat,CPUExecutionProvider,51
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_481,Concat,CPUExecutionProvider,52
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_473,Concat,CPUExecutionProvider,51
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_438,Concat,CPUExecutionProvider,51
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_429,Concat,CPUExecutionProvider,45
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_390,Concat,CPUExecutionProvider,48
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_382,Concat,CPUExecutionProvider,48
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_347,Concat,CPUExecutionProvider,48
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_338,Concat,CPUExecutionProvider,43
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_233,Concat,CPUExecutionProvider,49
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_69,Concat,CPUExecutionProvider,45
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_139,Concat,CPUExecutionProvider,50
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_63,Concat,CPUExecutionProvider,62
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_225,Concat,CPUExecutionProvider,63
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_187,Concat,CPUExecutionProvider,59
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_211,Concat,CPUExecutionProvider,59
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_368,Concat,CPUExecutionProvider,56
SHAPE_METADATA,3,EdgeNeXt-Base,node_Concat_459,Concat,CPUExecutionProvider,57
